typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20130101","2013","52","2013","36","AUS","Australia","X","Export","0","W00","World","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"252155105281","252155105281","0","true","false",
"C","A","20130101","2013","52","2013","36","AUS","Australia","X","Export","16","ASM","American Samoa","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"4478544","4478544","0","true","false",
"C","A","20130101","2013","52","2013","36","AUS","Australia","X","Export","4","AFG","Afghanistan","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"6595278","6595278","0","true","false",
"C","A","20130101","2013","52","2013","36","AUS","Australia","X","Export","8","ALB","Albania","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"2655750","2655750","0","true","false",
"C","A","20130101","2013","52","2013","36","AUS","Australia","X","Export","10","ATA","Antarctica","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"9081815","9081815","0","true","false",
"C","A","20130101","2013","52","2013","36","AUS","Australia","X","Export","12","DZA","Algeria","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"3608941","3608941","0","true","false",
"C","A","20130101","2013","52","2013","36","AUS","Australia","X","Export","24","AGO","Angola","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"8311730","8311730","0","true","false",
"C","A","20130101","2013","52","2013","36","AUS","Australia","X","Export","28","ATG","Antigua and Barbuda","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"1684110","1684110","0","true","false",
"C","A","20130101","2013","52","2013","36","AUS","Australia","X","Export","31","AZE","Azerbaijan","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"10368884","10368884","0","true","false",
"C","A","20130101","2013","52","2013","36","AUS","Australia","X","Export","32","ARG","Argentina","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"124744011","124744011","0","true","false",
"C","A","20130101","2013","52","2013","36","AUS","Australia","X","Export","40","AUT","Austria","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"67771461","67771461","0","true","false",
"C","A","20130101","2013","52","2013","36","AUS","Australia","X","Export","44","BHS","Bahamas","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"3267683","3267683","0","true","false",
"C","A","20130101","2013","52","2013","36","AUS","Australia","X","Export","48","BHR","Bahrain","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"140680796","140680796","0","true","false",
"C","A","20130101","2013","52","2013","36","AUS","Australia","X","Export","50","BGD","Bangladesh","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"546530885","546530885","0","true","false",
"C","A","20130101","2013","52","2013","36","AUS","Australia","X","Export","51","ARM","Armenia","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"5230342","5230342","0","true","false",
"C","A","20130101","2013","52","2013","36","AUS","Australia","X","Export","52","BRB","Barbados","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"1809420","1809420","0","true","false",
"C","A","20130101","2013","52","2013","36","AUS","Australia","X","Export","64","BTN","Bhutan","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"181446","181446","0","true","false",
"C","A","20130101","2013","52","2013","36","AUS","Australia","X","Export","56","BEL","Belgium","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"1031543916","1031543916","0","true","false",
